Affiliate_id,Affiliate_name,City,State,Country,Latitude,Longitude
13324,CrossFit Llanishen,Cardiff,South Glamorgan,United Kingdom,51.5224,-3.1939
15139,CrossFit BS East,Bristol,South Glous,United Kingdom,51.4464,-2.5235
17210,CrossFit Providien 1782,Gosport,South Hampshire,United Kingdom,,
4609,CrossFit Caerphilly,Caerphilly,South Wales,United Kingdom,51.5716,-3.237
2748,CrossFit Boat Shed,Cardiff,South Wales,United Kingdom,51.4984,-3.1465
210,Celtic CrossFit,Newport Gwent,South Wales,United Kingdom,51.5704,-2.9456
19827,CrossFit Barnsley,Barnsley,South Yorkshire,United Kingdom,53.5816,-1.4519
16384,Danum CrossFit,Doncaster,South Yorkshire,United Kingdom,53.5011,-1.1185
12952,CrossFit Rotherham,Rotherham,South Yorkshire,United Kingdom,53.4315,-1.363
3722,CrossFit Sheffield,Sheffield,South Yorkshire,United Kingdom,53.3638,-1.4688
17259,CrossFit Mercia,Burton upon Trent,Staffordshire,United Kingdom,52.8132,-1.6302
7744,Central Staffs CrossFit,Stafford,Staffordshire,United Kingdom,52.8272,-2.1081
7790,CrossFit Napalm,Stoke on Trent,Staffordshire,United Kingdom,53.0101,-2.1634
18511,CrossFit Allied,Stoke on Trent,Staffordshire,United Kingdom,52.9836,-2.1373
13879,CrossFit Tamworth,Tamworth,Staffordshire,United Kingdom,52.6258,-1.686
16701,CrossFit GTF,Uttoxeter,Staffordshire,United Kingdom,52.8965,-1.8632
17177,CrossFit 1298,Falkirk,Stirlingshire,United Kingdom,56.004,-3.7674
16922,FP CrossFit,Bury St Edmunds,Suffolk,United Kingdom,,
18767,CrossFit Beorn,Bury St Edmunds,Suffolk,United Kingdom,52.2324,0.7273
7081,T 800 CrossFit,Eye,Suffolk,United Kingdom,52.3335,1.136
5055,CrossFit ISC,Ipswich,Suffolk,United Kingdom,52.0348,1.1998
9793,CrossFit GFP,Ipswich,Suffolk,United Kingdom,52.063,1.2786
7012,CrossFit A14,Newmarket,Suffolk,United Kingdom,52.2623,0.3961
10251,CrossFit Bellerophon,Woodbridge,Suffolk,United Kingdom,,
11236,NewWave CrossFit,Cobham,Surrey,United Kingdom,51.3332,-0.4514
8959,CrossFit 2012,Esher,Surrey,United Kingdom,51.387,-0.3548
14012,In2 CrossFit Farnham,Farnham,Surrey,United Kingdom,51.2157,-0.7973
4589,CrossFit Guildford,Guildford,Surrey,United Kingdom,51.2186,-0.5808
18271,InTouch CrossFit,New Malden,Surrey,United Kingdom,51.4028,-0.2434
11748,CrossFit Purley,Purley,Surrey,United Kingdom,51.3447,-0.1051
16990,CrossFit KIA,Spelthorne,Surrey,United Kingdom,51.4194,-0.4451
13701,CrossFit TW18,Staines,Surrey,United Kingdom,51.4319,-0.5061
16939,CrossFit Staines,Staines-Upon-Thames,Surrey,United Kingdom,51.4294,-0.5117
5956,CrossFit Devils Path,Warlingham,Surrey,United Kingdom,51.3148,-0.0707
17642,Sir John Moore CrossFit,Winchester,Surrey,United Kingdom,,
8756,CrossFit Pirbright,woking,Surrey,United Kingdom,,
